Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s1 
Test 95, 42.4243, 66.8074, 48.7661, 6.9105, 13.6656, 13.5101, 35.5138, 53.1418, 35.2560 
Train 96, 24.7668, 49.1672, 48.8009, 6.7214, 13.4515, 13.4603, 18.0454, 35.7157, 35.3406
Test 96, 42.1327, 66.4869, 48.7084, 6.8800, 13.6499, 13.5397, 35.2527, 52.8370, 35.1687 
Train 97, 24.7266, 49.1815, 48.9097, 6.7291, 13.4634, 13.4687, 17.9975, 35.7180, 35.4410
Test 97, 42.2872, 66.6881, 48.8018, 6.8874, 13.6069, 13.4390, 35.3998, 53.0813, 35.3628 
Train 98, 24.7759, 49.3186, 49.0853, 6.7335, 13.4571, 13.4472, 18.0424, 35.8615, 35.6381
Test 98, 42.4418, 66.9318, 48.9801, 6.9204, 13.6409, 13.4411, 35.5213, 53.2909, 35.5390 
Train 99, 24.8137, 49.3850, 49.1427, 6.7393, 13.4719, 13.4654, 18.0745, 35.9131, 35.6773
Test 99, 42.6990, 67.2988, 49.1997, 6.9126, 13.6480, 13.4708, 35.7864, 53.6508, 35.7289 
Train 100, 24.8463, 49.4135, 49.1345, 6.7359, 13.4648, 13.4579, 18.1104, 35.9487, 35.6766
Test 100, 43.1443, 67.8190, 49.3494, 6.9634, 13.6959, 13.4649, 36.1809, 54.1231, 35.8844 
Train 101, 24.8178, 49.3690, 49.1022, 6.7257, 13.4559, 13.4603, 18.0921, 35.9131, 35.6419
Test 101, 42.8860, 67.5888, 49.4055, 6.9647, 13.6790, 13.4287, 35.9213, 53.9098, 35.9768 
Train 102, 24.7914, 49.2789, 48.9750, 6.7261, 13.4504, 13.4486, 18.0653, 35.8285, 35.5264
Test 102, 42.7800, 67.3577, 49.1554, 6.9651, 13.7088, 13.4874, 35.8149, 53.6489, 35.6680 
Train 103, 24.7522, 49.1812, 48.8580, 6.7180, 13.4469, 13.4579, 18.0342, 35.7343, 35.4001
Test 103, 42.6820, 67.2768, 49.1896, 6.8980, 13.6424, 13.4887, 35.7839, 53.6344, 35.7009 
Train 104, 24.7296, 49.1981, 48.9370, 6.7209, 13.4505, 13.4592, 18.0087, 35.7476, 35.4778
Test 104, 42.6398, 67.2081, 49.1367, 6.9043, 13.6542, 13.4996, 35.7354, 53.5540, 35.6371 
Train 105, 24.7078, 49.1168, 48.8180, 6.7198, 13.4443, 13.4489, 17.9879, 35.6725, 35.3691
Test 105, 42.9087, 67.3933, 48.9692, 6.8765, 13.6041, 13.4552, 36.0322, 53.7891, 35.5140 
Train 106, 24.6728, 49.0599, 48.7741, 6.7171, 13.4328, 13.4314, 17.9557, 35.6271, 35.3428
Test 106, 43.0589, 67.5313, 48.9449, 6.9378, 13.6718, 13.4681, 36.1211, 53.8595, 35.4768 
Train 107, 24.6124, 48.9616, 48.6984, 6.7022, 13.4041, 13.4037, 17.9102, 35.5576, 35.2947
Test 107, 43.2765, 67.7723, 48.9915, 6.8829, 13.5924, 13.4190, 36.3936, 54.1798, 35.5725 
Train 108, 24.5922, 48.8858, 48.5871, 6.7026, 13.3981, 13.3909, 17.8896, 35.4877, 35.1962
Test 108, 43.5875, 68.0708, 48.9667, 6.8916, 13.6138, 13.4445, 36.6959, 54.4570, 35.5222 
Train 109, 24.5590, 48.8926, 48.6672, 6.7030, 13.3885, 13.3708, 17.8559, 35.5041, 35.2964
Test 109, 43.4469, 68.0099, 49.1260, 6.9186, 13.5884, 13.3395, 36.5282, 54.4215, 35.7865 
Train 110, 24.5919, 48.8255, 48.4672, 6.6979, 13.3925, 13.3892, 17.8940, 35.4330, 35.0779
Test 110, 43.6228, 68.0665, 48.8874, 6.9367, 13.6497, 13.4260, 36.6860, 54.4167, 35.4614 
