Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Test 133, 28.2150, 54.7277, 53.0255, 5.8739, 11.0860, 10.4243, 22.3411, 43.6417, 42.6012 
Train 134, 43.4187, 61.2123, 60.4681, 6.1102, 11.3249, 10.4295, 24.8681, 49.8874, 50.0386
Test 134, 27.9684, 54.5024, 53.0680, 5.6755, 10.8992, 10.4474, 22.2929, 43.6032, 42.6206 
Train 135, 44.4415, 62.9027, 62.3830, 6.2678, 11.7613, 10.9870, 25.4434, 51.1414, 51.3960
Test 135, 28.2228, 54.6707, 52.8959, 5.8926, 11.1485, 10.5118, 22.3302, 43.5222, 42.3841 
Train 136, 46.4768, 61.7430, 57.5647, 5.9394, 11.2031, 10.5273, 27.0212, 50.5399, 47.0374
Test 136, 27.9422, 54.3852, 52.8860, 5.6625, 10.8920, 10.4591, 22.2798, 43.4932, 42.4269 
Train 137, 38.7442, 61.0650, 66.1920, 6.4291, 11.6895, 10.5209, 21.5399, 49.3755, 55.6711
Test 137, 28.6299, 55.1307, 53.0016, 6.2626, 11.5080, 10.4910, 22.3673, 43.6226, 42.5106 
Train 138, 46.0621, 61.7971, 58.0754, 6.1688, 11.8240, 11.3104, 26.5905, 49.9730, 46.7650
Test 138, 28.0753, 54.5121, 52.8736, 5.8254, 11.1274, 10.6040, 22.2499, 43.3847, 42.2696 
Train 139, 48.0377, 64.2646, 60.3190, 6.2529, 11.5254, 10.5448, 27.8521, 52.7392, 49.7742
Test 139, 28.1118, 54.4389, 52.6541, 5.8190, 11.0874, 10.5368, 22.2928, 43.3515, 42.1174 
Train 140, 43.2201, 62.8145, 64.0379, 5.9625, 11.4242, 10.9234, 24.8331, 51.3903, 53.1145
Test 140, 28.2107, 54.5883, 52.7552, 5.9305, 11.2437, 10.6263, 22.2802, 43.3447, 42.1289 
