Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Test 61, 26.9936, 52.9437, 51.9002, 6.0940, 11.7706, 11.3532, 20.8996, 41.1731, 40.5471 
Train 62, 37.4869, 51.8908, 51.7396, 5.6678, 11.3249, 11.3143, 20.3533, 40.5659, 40.4252
Test 62, 26.9221, 52.8264, 51.8084, 5.9676, 11.6170, 11.2987, 20.9545, 41.2094, 40.5098 
Train 63, 37.4702, 51.8423, 51.6659, 5.6571, 11.2965, 11.2788, 20.3522, 40.5458, 40.3871
Test 63, 26.9215, 52.7603, 51.6776, 5.9268, 11.5581, 11.2627, 20.9948, 41.2022, 40.4149 
Train 64, 37.4292, 51.8049, 51.6519, 5.6401, 11.2470, 11.2136, 20.3388, 40.5580, 40.4383
Test 64, 26.8180, 52.6183, 51.6006, 5.9106, 11.5294, 11.2376, 20.9074, 41.0889, 40.3630 
Train 65, 37.3814, 51.7119, 51.5366, 5.6223, 11.2230, 11.2014, 20.3213, 40.4889, 40.3352
Test 65, 26.8789, 52.7340, 51.7101, 5.9355, 11.5274, 11.1838, 20.9434, 41.2065, 40.5263 
Train 66, 37.3721, 51.6649, 51.4643, 5.6028, 11.1865, 11.1675, 20.3300, 40.4784, 40.2968
Test 66, 26.9038, 52.7327, 51.6579, 5.9828, 11.5686, 11.1717, 20.9210, 41.1641, 40.4862 
Train 67, 37.3091, 51.6520, 51.5209, 5.5962, 11.1705, 11.1485, 20.2954, 40.4815, 40.3723
Test 67, 26.7557, 52.5715, 51.6316, 5.8381, 11.4005, 11.1248, 20.9176, 41.1710, 40.5068 
Train 68, 37.3076, 51.5642, 51.3555, 5.5779, 11.1175, 11.0792, 20.3086, 40.4468, 40.2763
Test 68, 26.8792, 52.6593, 51.5601, 5.9134, 11.4699, 11.1129, 20.9658, 41.1894, 40.4473 
Train 69, 37.2558, 51.5539, 51.4107, 5.5596, 11.0991, 11.0789, 20.2889, 40.4548, 40.3318
Test 69, 26.7598, 52.4603, 51.4010, 5.8570, 11.3862, 11.0585, 20.9028, 41.0740, 40.3425 
Train 70, 37.2205, 51.4573, 51.2663, 5.5492, 11.0757, 11.0530, 20.2750, 40.3816, 40.2133
Test 70, 26.6883, 52.3810, 51.3854, 5.8265, 11.3450, 11.0370, 20.8618, 41.0360, 40.3484 
Train 71, 37.1988, 51.4717, 51.3262, 5.5383, 11.0399, 11.0033, 20.2703, 40.4318, 40.3230
Test 71, 26.6740, 52.3746, 51.4012, 5.8477, 11.3375, 10.9796, 20.8263, 41.0371, 40.4216 
Train 72, 37.1675, 51.4425, 51.3127, 5.5265, 11.0179, 10.9828, 20.2596, 40.4245, 40.3298
