Epoch, Total loss, Total S1, Total S2, DPA NRGY, DPA s1, DPA s2, LM NRGY, LM s1, LM s2 
Train 185, 35.9962, 49.7849, 49.5722, 5.4165, 10.8022, 10.7713, 19.5822, 38.9827, 38.8009
Test 185, 26.2875, 51.1622, 49.7493, 5.7271, 11.1236, 10.7930, 20.5604, 40.0386, 38.9563 
Train 186, 35.9891, 49.8169, 49.6452, 5.4172, 10.8023, 10.7700, 19.5771, 39.0147, 38.8752
Test 186, 26.1628, 51.2024, 50.0792, 5.6482, 11.0378, 10.7792, 20.5146, 40.1646, 39.3000 
Train 187, 35.9748, 49.8345, 49.6958, 5.4202, 10.7992, 10.7581, 19.5664, 39.0353, 38.9378
Test 187, 26.3710, 51.2892, 49.8365, 5.8237, 11.1821, 10.7168, 20.5473, 40.1071, 39.1196 
Train 188, 35.9753, 49.7841, 49.5979, 5.4172, 10.7931, 10.7518, 19.5679, 38.9910, 38.8461
Test 188, 26.4109, 51.3201, 49.8185, 5.8343, 11.2232, 10.7776, 20.5765, 40.0970, 39.0409 
Train 189, 35.9847, 49.8068, 49.6300, 5.4164, 10.8037, 10.7746, 19.5754, 39.0031, 38.8554
Test 189, 26.5093, 51.4916, 49.9645, 5.9394, 11.3788, 10.8788, 20.5699, 40.1128, 39.0857 
Train 190, 35.9684, 49.7784, 49.5970, 5.4132, 10.7839, 10.7412, 19.5667, 38.9946, 38.8558
Test 190, 26.2596, 51.1163, 49.7135, 5.7054, 11.0959, 10.7810, 20.5541, 40.0204, 38.9325 
Train 191, 35.9726, 49.8109, 49.6560, 5.4153, 10.7985, 10.7664, 19.5676, 39.0124, 38.8896
Test 191, 26.3351, 51.2712, 49.8724, 5.7653, 11.1584, 10.7862, 20.5698, 40.1128, 39.0862 
Train 192, 35.9494, 49.7935, 49.6523, 5.4155, 10.7908, 10.7506, 19.5519, 39.0028, 38.9017
Test 192, 26.1659, 51.1960, 50.0603, 5.6439, 11.0282, 10.7686, 20.5220, 40.1678, 39.2917 
Train 193, 35.9393, 49.8029, 49.6903, 5.4069, 10.7845, 10.7552, 19.5509, 39.0184, 38.9351
Test 193, 26.2557, 51.0795, 49.6475, 5.6929, 11.0823, 10.7787, 20.5628, 39.9972, 38.8688 
Train 194, 35.9429, 49.7277, 49.5349, 5.4054, 10.7680, 10.7251, 19.5548, 38.9597, 38.8098
Test 194, 26.2983, 51.1180, 49.6394, 5.7457, 11.1128, 10.7341, 20.5526, 40.0052, 38.9053 
Train 195, 35.9417, 49.7427, 49.5694, 5.4044, 10.7692, 10.7295, 19.5536, 38.9735, 38.8398
Test 195, 26.2635, 51.1791, 49.8312, 5.7500, 11.1537, 10.8074, 20.5135, 40.0254, 39.0238 
Train 196, 35.9313, 49.7594, 49.6146, 5.4076, 10.7848, 10.7543, 19.5445, 38.9747, 38.8603
Test 196, 26.2644, 51.1324, 49.7358, 5.7565, 11.1517, 10.7903, 20.5079, 39.9807, 38.9455 
Train 197, 35.9250, 49.7559, 49.6159, 5.4060, 10.7861, 10.7601, 19.5419, 38.9698, 38.8558
Test 197, 26.3886, 51.3327, 49.8883, 5.8779, 11.2541, 10.7524, 20.5106, 40.0786, 39.1360 
Train 198, 35.9391, 49.7478, 49.5827, 5.4034, 10.7744, 10.7418, 19.5530, 38.9735, 38.8409
Test 198, 26.3876, 51.2001, 49.6251, 5.8293, 11.1954, 10.7323, 20.5583, 40.0047, 38.8928 
Train 199, 35.9125, 49.7317, 49.5872, 5.4018, 10.7722, 10.7407, 19.5363, 38.9596, 38.8465
Test 199, 26.2531, 51.1766, 49.8469, 5.7194, 11.1164, 10.7940, 20.5337, 40.0602, 39.0530 
Train 200, 35.9245, 49.7205, 49.5531, 5.3949, 10.7646, 10.7393, 19.5490, 38.9559, 38.8138
Test 200, 26.3270, 51.2040, 49.7539, 5.7861, 11.2230, 10.8738, 20.5408, 39.9809, 38.8802 
